t,transactions_transfers_volume_miners_net
2011-12-20,-6741.359013121599
2011-12-21,-2303.3905556598
2011-12-22,1340.2727948982701
2011-12-23,1295.9480092805497
2011-12-24,-1775.0250993846494
2011-12-25,867.3462942198603
2011-12-26,-1579.1883515775899
2011-12-27,1735.7993221570905
2011-12-28,-1784.3612010719462
2011-12-29,5011.587882789539
2011-12-30,-1937.189987637299
2011-12-31,-645.7176563797602
2012-01-01,-4596.475411483401
2012-01-02,-473.78940582767245
2012-01-03,1079.5020550858808
2012-01-04,-535.5939692874817
2012-01-05,-1692.747925928301
2012-01-06,-4764.7192667398995
2012-01-07,4038.077559609861
2012-01-08,-1193.7875342931202
2012-01-09,39766.70460359667
2012-01-10,1689.5979207370792
2012-01-11,529.4602282467695
2012-01-12,-2475.4022266520988
2012-01-13,8536.813278521771
2012-01-14,5776.4021603353995
2012-01-15,33.98688156095159
2012-01-16,1355.7294072214281
2012-01-17,3256.277901199739
2012-01-18,638.0311134161129
2012-01-19,6107.2520287448
2012-01-20,-1010.0501120899717
2012-01-21,2903.2623136066923
2012-01-22,4857.88964883873
2012-01-23,-2075.7672979032995
2012-01-24,2019.6178820595014
2012-01-25,-800.7610505666289
2012-01-26,5951.61472575883
2012-01-27,637.900154044919
2012-01-28,-1310.2469523255904
2012-01-29,8868.081480427809
2012-01-30,1247.2014553301906
2012-01-31,1452.5122025885994
2012-02-01,293.7512690350595
2012-02-02,3398.798660754299
2012-02-03,1698.4729246280995
2012-02-04,8329.86364170742
2012-02-05,-1819.75285736956
2012-02-06,1251.7608263513093
2012-02-07,-649.3821797830606
2012-02-08,-515.2319503760609
2012-02-09,644.3499998569305
2012-02-10,-447.14401513150915
2012-02-11,6.747034069378969
2012-02-12,907.9690978926301
2012-02-13,-955.1476986908201
2012-02-14,-4401.216008175101
2012-02-15,7.701048129769333
2012-02-16,1795.4503572820704
2012-02-17,2704.2547689470193
2012-02-18,907.7524294400973
2012-02-19,1425.5271921192016
2012-02-20,213.61538391807971
2012-02-21,706.8734566561598
2012-02-22,983.9456219736794
2012-02-23,327.86173880352
2012-02-24,848.0096747794605
2012-02-25,47341.20788911535
2012-02-26,1444.0775440260913
2012-02-27,362.9094103878688
2012-02-28,13387.343747012601
2012-02-29,1012.8476449095397
2012-03-01,-2017.9106393651
2012-03-02,14052.640512662649
2012-03-03,801.1255073438606
2012-03-04,365.29260199297914
2012-03-05,165.59106048049034
2012-03-06,-569.9460473149193
2012-03-07,6530.192001828621
2012-03-08,676.2969237757707
2012-03-09,-101.71689943346064
2012-03-10,430.6570110625289
2012-03-11,850.9823311902092
2012-03-12,2026.5783951958201
2012-03-13,-268.7893162354012
2012-03-14,-3143.623940394001
