t,addresses_accumulation_balance
2012-08-15,2059246.16036755
2012-08-16,2029433.35730083
2012-08-17,2022508.6713691
2012-08-18,2011861.02085194
2012-08-19,1933452.39037518
2012-08-20,1932858.17515397
2012-08-21,1929994.19737004
2012-08-22,1924972.48919721
2012-08-23,1921495.79563467
2012-08-24,1891422.24645872
2012-08-25,1901686.73896827
2012-08-26,1897416.99087288
2012-08-27,1902686.28711302
2012-08-28,1902452.99403364
2012-08-29,1905960.48795243
2012-08-30,1910876.10127038
2012-08-31,1920202.46363819
2012-09-01,1930231.44499012
2012-09-02,1927956.12641966
2012-09-03,1930625.86585644
2012-09-04,1943991.01976707
2012-09-05,1950999.06681934
2012-09-06,1941337.10446198
2012-09-07,1952007.5829474
2012-09-08,1957080.65239888
2012-09-09,1966759.21681905
2012-09-10,1963457.9975897
2012-09-11,1974821.22519673
2012-09-12,1969022.55323245
2012-09-13,1981554.58122115
2012-09-14,1989927.353077
2012-09-15,1990951.40336095
2012-09-16,1991944.41394715
2012-09-17,1995086.69216757
2012-09-18,2004205.74936638
2012-09-19,2016580.61123136
2012-09-20,2038135.85936817
2012-09-21,2021351.76396295
2012-09-22,2024839.98036739
2012-09-23,2028005.40989275
2012-09-24,2026024.84997122
2012-09-25,2021165.65873908
2012-09-26,2020455.78559292
2012-09-27,2007419.90168642
2012-09-28,1996079.32458023
2012-09-29,1986192.4292042
2012-09-30,1973236.14177488
2012-10-01,1986529.57375849
2012-10-02,1984672.2506067
2012-10-03,1993751.22793396
