t,addresses_non_zero_count
2013-07-13,1756591
2013-07-14,1757655
2013-07-15,1758148
2013-07-16,1761173
2013-07-17,1764586
2013-07-18,1766128
2013-07-19,1769922
2013-07-20,1772138
2013-07-21,1773452
2013-07-22,1776817
2013-07-23,1779926
2013-07-24,1781357
2013-07-25,1781251
2013-07-26,1782639
2013-07-27,1781288
2013-07-28,1783311
2013-07-29,1785101
2013-07-30,1786469
2013-07-31,1785576
2013-08-01,1820730
2013-08-02,1823854
2013-08-03,1825452
2013-08-04,1823465
2013-08-05,1825709
2013-08-06,1829340
2013-08-07,1834554
2013-08-08,1836966
2013-08-09,1839031
2013-08-10,1841783
2013-08-11,1841652
2013-08-12,1841276
2013-08-13,1845029
2013-08-14,1848096
2013-08-15,1852870
2013-08-16,1853757
2013-08-17,1855161
2013-08-18,1855886
2013-08-19,1861689
2013-08-20,1863499
2013-08-21,1865815
2013-08-22,1868678
2013-08-23,1866351
2013-08-24,1867574
2013-08-25,1861288
2013-08-26,1861362
2013-08-27,1854431
2013-08-28,1858620
2013-08-29,1863202
2013-08-30,1862795
2013-08-31,1882435
2013-09-01,1884078
2013-09-02,1886478
2013-09-03,1886619
2013-09-04,1887037
2013-09-05,1890252
2013-09-06,1889266
2013-09-07,1889484
2013-09-08,1888802
2013-09-09,1887160
2013-09-10,1885548
2013-09-11,1887446
2013-09-12,1887961
2013-09-13,1892489
2013-09-14,1895489
2013-09-15,1896565
2013-09-16,1899190
2013-09-17,1902171
2013-09-18,1902120
2013-09-19,1904776
2013-09-20,1909018
2013-09-21,1913097
2013-09-22,1913965
