t,o
2012-10-21,"{'bitfinex': 10.9993, 'bitstamp': 660.04212969, 'coinbase': 13.14640596}"
2012-10-22,"{'bitfinex': 10.9993, 'bitstamp': 998.80299891, 'coinbase': 13.39409374}"
2012-10-23,"{'bitfinex': 10.9993, 'bitstamp': 1628.13511844, 'coinbase': 13.53196984}"
2012-10-24,"{'bitfinex': 10.99940514, 'bitstamp': 5054.82206526, 'coinbase': 30.37712925}"
2012-10-25,"{'bitfinex': 10.99940514, 'bitstamp': 5755.16332564, 'coinbase': 29.904193}"
2012-10-26,"{'bitfinex': 10.99940514, 'bitstamp': 145.9651962, 'coinbase': 17.10400159}"
2012-10-27,"{'bitfinex': 10.99940514, 'bitstamp': 338.66030204, 'coinbase': 14.72634796}"
2012-10-28,"{'bitfinex': 10.99940514, 'bitstamp': 606.46270317, 'coinbase': 14.88398457}"
2012-10-29,"{'bitfinex': 10.99940514, 'bitstamp': 30.15721553, 'coinbase': 13.90424929}"
2012-10-30,"{'bitfinex': 10.99940514, 'bitstamp': 31.82327874, 'coinbase': 16.67898929}"
2012-10-31,"{'bitfinex': 10.99940514, 'bitstamp': 640.90590269, 'coinbase': 21.4364556}"
2012-11-01,"{'bitfinex': 10.99940514, 'bitstamp': 62.76789745, 'coinbase': 19.78044406}"
