t,transactions_transfers_volume_entity_adjusted_sum
2012-01-27,213637.50543927
2012-01-28,155494.42812172
2012-01-29,156236.94621999
2012-01-30,136186.7348836
2012-01-31,189903.8793837
2012-02-01,248693.39613775
2012-02-02,217733.17380158
2012-02-03,194096.43700016
2012-02-04,222919.36914275
2012-02-05,161743.07753304
2012-02-06,191027.33133506
2012-02-07,180394.55020267
2012-02-08,172131.79477157
2012-02-09,148101.14200151
2012-02-10,164541.45597517
2012-02-11,203594.69825932
2012-02-12,143426.83175318
2012-02-13,254267.57697344
2012-02-14,826742.28736008
2012-02-15,1023183.7146238
2012-02-16,713037.46956649
2012-02-17,406857.36982035
2012-02-18,458300.302402
2012-02-19,177500.96712681
2012-02-20,263959.94168688
2012-02-21,236348.04391183
2012-02-22,277510.64944264
2012-02-23,268006.88055841
2012-02-24,271542.83017351
2012-02-25,223833.48540378
2012-02-26,172714.25672048
2012-02-27,187192.86876198
2012-02-28,210760.16905856
2012-02-29,196216.17204172
2012-03-01,302341.02857092
2012-03-02,333921.82439436
2012-03-03,210472.49157305
2012-03-04,205464.73884298
2012-03-05,183667.31442768
2012-03-06,203896.92711588
2012-03-07,185149.94165153
2012-03-08,197853.61005479
2012-03-09,182909.02637165
2012-03-10,143468.32407491
2012-03-11,137267.50807487
2012-03-12,210983.86541397
2012-03-13,237880.90016037
2012-03-14,280976.37525113
2012-03-15,236344.27800624
2012-03-16,227229.17890985
2012-03-17,157512.19639446
2012-03-18,162106.74297077
2012-03-19,227807.8873574
2012-03-20,231269.36476598
2012-03-21,241979.17095894
2012-03-22,373181.48041025
2012-03-23,242995.89586965
2012-03-24,198901.13998255
2012-03-25,187599.16410664
2012-03-26,257380.39962174
2012-03-27,224185.74490589
2012-03-28,253779.46774265
2012-03-29,258682.66321754
2012-03-30,261298.78834577
2012-03-31,277173.36663899
2012-04-01,128689.93464996
2012-04-02,241721.4181588
2012-04-03,229582.03916209
2012-04-04,274114.05276209
2012-04-05,204145.01774277
2012-04-06,267567.18497139
2012-04-07,165077.12133327
2012-04-08,140819.85895084
