t,entities_new_count
2013-07-17,8884
2013-07-18,8961
2013-07-19,8884
2013-07-20,8117
2013-07-21,6678
2013-07-22,8152
2013-07-23,9437
2013-07-24,9163
2013-07-25,9468
2013-07-26,8870
2013-07-27,6927
2013-07-28,6808
2013-07-29,8130
2013-07-30,10173
2013-07-31,11766
2013-08-01,43484
2013-08-02,12614
2013-08-03,9326
2013-08-04,7073
2013-08-05,10178
2013-08-06,8955
2013-08-07,10675
2013-08-08,8965
2013-08-09,7614
2013-08-10,8362
2013-08-11,5885
2013-08-12,9392
2013-08-13,12142
2013-08-14,12318
2013-08-15,11675
2013-08-16,10161
2013-08-17,6674
2013-08-18,7004
2013-08-19,9337
2013-08-20,9273
2013-08-21,9994
2013-08-22,9667
2013-08-23,9031
2013-08-24,7346
2013-08-25,6220
2013-08-26,7938
2013-08-27,10306
2013-08-28,9998
2013-08-29,8117
2013-08-30,12343
2013-08-31,12728
2013-09-01,7528
2013-09-02,8161
2013-09-03,9724
2013-09-04,11190
2013-09-05,10571
2013-09-06,10927
2013-09-07,9132
2013-09-08,6659
2013-09-09,9264
2013-09-10,9251
2013-09-11,9892
2013-09-12,10072
2013-09-13,9608
2013-09-14,7614
2013-09-15,6954
2013-09-16,9658
2013-09-17,10083
2013-09-18,10463
2013-09-19,11024
2013-09-20,12156
2013-09-21,10962
2013-09-22,9448
2013-09-23,10950
2013-09-24,11099
2013-09-25,11542
2013-09-26,11728
2013-09-27,10668
2013-09-28,10005
2013-09-29,10382
2013-09-30,11936
2013-10-01,13014
2013-10-02,14486
2013-10-03,13452
2013-10-04,12629
2013-10-05,9225
2013-10-06,9084
2013-10-07,10480
2013-10-08,11266
2013-10-09,12090
2013-10-10,10465
2013-10-11,10346
2013-10-12,9111
2013-10-13,17838
2013-10-14,9935
2013-10-15,12559
2013-10-16,14039
2013-10-17,10889
2013-10-18,12458
2013-10-19,13334
2013-10-20,12514
2013-10-21,13885
2013-10-22,13665
2013-10-23,13340
2013-10-24,14458
2013-10-25,13199
2013-10-26,9385
2013-10-27,7495
2013-10-28,10465
2013-10-29,11085
2013-10-30,12152
2013-10-31,11758
2013-11-01,11965
2013-11-02,10172
2013-11-03,9289
2013-11-04,13144
2013-11-05,16234
2013-11-06,16396
2013-11-07,17911
2013-11-08,18406
2013-11-09,18621
2013-11-10,15765
2013-11-11,12969
2013-11-12,15128
2013-11-13,15622
2013-11-14,17461
2013-11-15,16084
2013-11-16,14706
2013-11-17,14570
2013-11-18,23801
2013-11-19,34036
2013-11-20,26512
2013-11-21,24424
2013-11-22,24477
2013-11-23,22765
2013-11-24,16325
2013-11-25,20380
2013-11-26,24826
2013-11-27,28034
2013-11-28,29322
2013-11-29,27954
2013-11-30,26244
2013-12-01,24599
2013-12-02,28748
2013-12-03,24618
2013-12-04,25137
2013-12-05,27016
