t,indicators_mvrv_account_based
2012-05-21,1.04931684344222
2012-05-22,1.0511744256239
2012-05-23,1.05861186944621
2012-05-24,1.05883178447728
2012-05-25,1.06216936992739
2012-05-26,1.06054975125034
2012-05-27,1.06074118351266
2012-05-28,1.0625991967455
2012-05-29,1.06402673712583
2012-05-30,1.06806283980261
2012-05-31,1.07000188687995
2012-06-01,1.09106661706852
2012-06-02,1.08876977738798
2012-06-03,1.08673563526207
2012-06-04,1.08964067711445
2012-06-05,1.12180992312431
2012-06-06,1.13157992608627
2012-06-07,1.14096508309911
2012-06-08,1.16519142740396
2012-06-09,1.1620288298164
2012-06-10,1.13926802748833
2012-06-11,1.13570377906247
2012-06-12,1.15808899416035
2012-06-13,1.20372087424266
2012-06-14,1.21567667295212
2012-06-15,1.23886459097392
2012-06-16,1.32807808372494
2012-06-17,1.30817503045131
2012-06-18,1.28304075164662
2012-06-19,1.31377029375169
2012-06-20,1.3406098888001
2012-06-21,1.36275074033909
2012-06-22,1.34389928852451
2012-06-23,1.3136672403273
2012-06-24,1.29845768106934
2012-06-25,1.27862946314014
2012-06-26,1.29531468832646
2012-06-27,1.31358133412526
2012-06-28,1.33208667672157
2012-06-29,1.33927299728103
2012-06-30,1.34432675950757
2012-07-01,1.33851006683012
2012-07-02,1.34761132644266
2012-07-03,1.32322738409675
2012-07-04,1.30838986827903
2012-07-05,1.33285366190042
2012-07-06,1.33055697400314
2012-07-07,1.34461322830796
2012-07-08,1.35890437944671
2012-07-09,1.36879934764002
2012-07-10,1.42358198914528
2012-07-11,1.4366735639317
2012-07-12,1.45017008656198
2012-07-13,1.53569307319277
2012-07-14,1.53122392129855
2012-07-15,1.51856983234175
2012-07-16,1.5737381442756
2012-07-17,1.65838223281517
2012-07-18,1.77131612760115
2012-07-19,1.78869937677055
2012-07-20,1.61700694111761
2012-07-21,1.71369348701986
2012-07-22,1.70053868736321
2012-07-23,1.68607225149822
2012-07-24,1.67580094377201
2012-07-25,1.6471966737395
2012-07-26,1.69003395666801
2012-07-27,1.7120346585136
2012-07-28,1.70715783322377
2012-07-29,1.68398046476575
2012-07-30,1.69824318746974
2012-07-31,1.75790135511808
2012-08-01,1.78436731304752
2012-08-02,1.84573878306155
2012-08-03,1.98863858830271
2012-08-04,2.05030744050183
2012-08-05,1.94414061009448
2012-08-06,1.99810743089477
2012-08-07,1.97938546450157
2012-08-08,2.00446696443994
2012-08-09,2.03562777712667
2012-08-10,2.03885216703954
2012-08-11,2.063433268863
2012-08-12,2.08195810469322
2012-08-13,2.09535255922311
2012-08-14,2.14222807272424
2012-08-15,2.21351727095393
2012-08-16,2.3312867496726
2012-08-17,2.43258785286673
2012-08-18,2.03407938444853
2012-08-19,1.59634496545434
2012-08-20,1.63773006879725
2012-08-21,1.72214857472666
2012-08-22,1.70041349611777
2012-08-23,1.70428414299759
2012-08-24,1.72624507833841
2012-08-25,1.77929098882752
2012-08-26,1.79579308619736
2012-08-27,1.88627611277699
2012-08-28,1.83176741975014
2012-08-29,1.81786885964758
2012-08-30,1.80010916114321
2012-08-31,1.71874081363244
2012-09-01,1.64912174710375
2012-09-02,1.65438373051554
2012-09-03,1.69902660806662
2012-09-04,1.70551043253474
2012-09-05,1.72581263715591
2012-09-06,1.79237961833521
2012-09-07,1.82077506427547
2012-09-08,1.79516763142878
2012-09-09,1.79817161601162
2012-09-10,1.78280962796081
2012-09-11,1.77982093805323
2012-09-12,1.79661029295014
2012-09-13,1.81142345527874
2012-09-14,1.83665943453733
2012-09-15,1.85976493697309
2012-09-16,1.88154888005425
2012-09-17,1.87974704203755
2012-09-18,1.89232672466654
2012-09-19,1.9429825284887
2012-09-20,1.95106349250474
2012-09-21,1.91114939497052
2012-09-22,1.89220309430358
2012-09-23,1.85783988486172
2012-09-24,1.86415555202706
2012-09-25,1.85340362592686
2012-09-26,1.8612143008954
2012-09-27,1.87834568095339
2012-09-28,1.87468790041713
2012-09-29,1.8791040982506
2012-09-30,1.86934440281658
2012-10-01,1.86172985705058
2012-10-02,1.88249151249484
2012-10-03,1.91258801668488
2012-10-04,1.92411534842496
2012-10-05,1.89967491564764
2012-10-06,1.88690798743696
2012-10-07,1.79402523406259
2012-10-08,1.69051338726151
2012-10-09,1.77928779794243
2012-10-10,1.78558181649418
2012-10-11,1.78679513894259
2012-10-12,1.78368921770333
2012-10-13,1.7737346268116
2012-10-14,1.75683537867433
2012-10-15,1.72978984550198
2012-10-16,1.75043636880176
2012-10-17,1.74626113896954
2012-10-18,1.74478976686817
2012-10-19,1.73160613604736
2012-10-20,1.71683510173742
2012-10-21,1.71037802226336
2012-10-22,1.707406446951
2012-10-23,1.71228570179965
2012-10-24,1.70329566480033
2012-10-25,1.63327108510603
2012-10-26,1.5188514818405
2012-10-27,1.50824394160636
2012-10-28,1.53191317569664
2012-10-29,1.55596713203342
2012-10-30,1.56833915584886
2012-10-31,1.60492895892655
2012-11-01,1.60869509491052
2012-11-02,1.55471802921032
2012-11-03,1.54332178767043
2012-11-04,1.54959961835323
2012-11-05,1.56427241340784
2012-11-06,1.57645677329088
2012-11-07,1.59566515790819
2012-11-08,1.59088368101263
2012-11-09,1.58179824649988
2012-11-10,1.58033222988223
2012-11-11,1.57093473175567
2012-11-12,1.58702416965933
2012-11-13,1.59202035782607
2012-11-14,1.59208030043596
2012-11-15,1.5974766213426
2012-11-16,1.65708507192125
2012-11-17,1.68610599964045
2012-11-18,1.68977873802263
2012-11-19,1.68692001845099
2012-11-20,1.6859929923564
