t,o
2010-03-23,"{'0001_001': 0, '001_01': 8.55431993156544e-09, '01_1': 6.41573994867408e-07, '100_1k': 0.0561598417450813, '10_100': 0.540406086398631, '10k_100k': 0.235556775021386, '1_10': 1.21642429426861e-05, '1k_10k': 0.167864482463644, 'above_100k': 0, 'less_0001': 0}"
2010-03-24,"{'0001_001': 0, '001_01': 8.523151008928e-09, '01_1': 6.392363256696e-07, '100_1k': 0.0560830623681575, '10_100': 0.539353276086169, '10k_100k': 0.235167262576975, '1_10': 1.21199207346956e-05, '1k_10k': 0.169383631288487, 'above_100k': 0, 'less_0001': 0}"
2010-03-25,"{'0001_001': 0, '001_01': 8.48932467422217e-09, '01_1': 6.36699350566662e-07, '100_1k': 0.0568792011545481, '10_100': 0.538592228023261, '10k_100k': 0.245567188760134, '1_10': 1.20718196867439e-05, '1k_10k': 0.158948665053695, 'above_100k': 0, 'less_0001': 0}"
2010-03-26,"{'0001_001': 0, '001_01': 8.4539786537039e-09, '01_1': 6.34048399027792e-07, '100_1k': 0.0558610208179224, '10_100': 0.537427636056219, '10k_100k': 0.244799272957836, '1_10': 1.20215576455669e-05, '1k_10k': 0.161899406108, 'above_100k': 0, 'less_0001': 0}"
2010-03-27,"{'0001_001': 0, '001_01': 8.42229381171962e-09, '01_1': 6.31672035878972e-07, '100_1k': 0.0560306613606216, '10_100': 0.536234573516097, '10k_100k': 0.243849485187291, '1_10': 1.19765018002653e-05, '1k_10k': 0.163872663339861, 'above_100k': 0, 'less_0001': 0}"
2010-03-28,"{'0001_001': 0, '001_01': 2.09735942448457e-08, '01_1': 6.29207827345372e-07, '100_1k': 0.0552248075672728, '10_100': 0.535212328278697, '10k_100k': 0.244093701629648, '1_10': 1.19297804064683e-05, '1k_10k': 0.165456582562554, 'above_100k': 0, 'less_0001': 0}"
2010-03-29,"{'0001_001': 0, '001_01': 2.08881647658437e-08, '01_1': 6.2664494297531e-07, '100_1k': 0.0555847349291891, '10_100': 0.534139378368217, '10k_100k': 0.244081204829344, '1_10': 1.18811881188119e-05, '1k_10k': 0.166182153152024, 'above_100k': 0, 'less_0001': 0}"
2010-03-30,"{'0001_001': 0, '001_01': 2.07947763521803e-08, '01_1': 6.2384329056541e-07, '100_1k': 0.0560016552641976, '10_100': 0.53295740398012, '10k_100k': 0.243426638108507, '1_10': 1.18280687891202e-05, '1k_10k': 0.167601829940319, 'above_100k': 0, 'less_0001': 0}"
2010-03-31,"{'0001_001': 0, '001_01': 2.07047910886579e-08, '01_1': 6.21143732659737e-07, '100_1k': 0.0566386434220879, '10_100': 0.53174849062073, '10k_100k': 0.242839744916974, '1_10': 1.17768851712286e-05, '1k_10k': 0.168760702306514, 'above_100k': 0, 'less_0001': 0}"
2010-04-01,"{'0001_001': 0, '001_01': 2.06330210869476e-08, '01_1': 6.18990632608427e-07, '100_1k': 0.0564010481574712, '10_100': 0.530833751495894, '10k_100k': 0.242390005364586, '1_10': 1.17360623942558e-05, '1k_10k': 0.170362819296001, 'above_100k': 0, 'less_0001': 0}"
