t,transactions_transfers_from_exchanges_count
2015-05-16,6440
2015-05-17,7204
2015-05-18,7384
2015-05-19,7455
2015-05-20,7238
2015-05-21,6918
2015-05-22,8133
2015-05-23,7066
2015-05-24,7984
2015-05-25,7196
2015-05-26,7175
2015-05-27,6766
2015-05-28,7003
2015-05-29,6593
2015-05-30,7279
2015-05-31,6690
2015-06-01,8245
2015-06-02,7907
2015-06-03,7797
2015-06-04,7359
2015-06-05,7734
2015-06-06,7056
2015-06-07,6823
2015-06-08,8044
2015-06-09,7551
2015-06-10,7391
2015-06-11,7239
2015-06-12,7794
2015-06-13,6560
2015-06-14,7507
2015-06-15,7517
2015-06-16,7186
2015-06-17,8615
2015-06-18,8501
2015-06-19,7579
2015-06-20,7006
2015-06-21,6785
2015-06-22,7417
2015-06-23,7396
2015-06-24,6971
2015-06-25,6654
2015-06-26,7019
2015-06-27,6727
2015-06-28,6992
2015-06-29,7856
2015-06-30,7954
2015-07-01,8771
2015-07-02,8083
2015-07-03,7637
2015-07-04,6312
2015-07-05,7124
2015-07-06,8381
2015-07-07,7313
2015-07-08,6329
2015-07-09,8539
2015-07-10,8716
2015-07-11,7425
2015-07-12,7247
2015-07-13,7903
2015-07-14,7898
2015-07-15,7211
2015-07-16,7523
2015-07-17,6894
2015-07-18,6218
2015-07-19,6766
2015-07-20,7288
2015-07-21,7345
2015-07-22,7117
2015-07-23,6668
2015-07-24,7303
2015-07-25,6737
2015-07-26,7148
2015-07-27,8301
2015-07-28,8327
2015-07-29,8060
2015-07-30,8397
2015-07-31,10064
2015-08-01,7539
2015-08-02,7653
2015-08-03,8546
2015-08-04,8715
2015-08-05,8612
2015-08-06,8345
2015-08-07,8035
2015-08-08,8023
2015-08-09,7723
2015-08-10,8517
2015-08-11,8550
2015-08-12,8898
2015-08-13,8790
2015-08-14,8874
2015-08-15,8103
2015-08-16,7986
2015-08-17,7923
2015-08-18,8432
2015-08-19,9460
2015-08-20,9737
2015-08-21,8880
2015-08-22,8308
2015-08-23,8045
2015-08-24,10080
