t,entities_active_count
2013-08-27,25675
2013-08-28,26193
2013-08-29,23005
2013-08-30,28224
2013-08-31,27349
2013-09-01,21895
2013-09-02,23118
2013-09-03,24690
2013-09-04,27425
2013-09-05,26113
2013-09-06,25501
2013-09-07,22388
2013-09-08,19427
2013-09-09,27674
2013-09-10,25123
2013-09-11,26071
2013-09-12,26553
2013-09-13,24761
2013-09-14,21319
2013-09-15,20756
2013-09-16,25085
2013-09-17,26234
2013-09-18,27182
2013-09-19,27081
2013-09-20,29352
2013-09-21,26047
2013-09-22,24226
2013-09-23,28814
2013-09-24,28638
2013-09-25,29726
2013-09-26,29019
2013-09-27,27421
2013-09-28,25165
2013-09-29,26091
2013-09-30,28886
2013-10-01,31752
2013-10-02,34511
2013-10-03,31523
2013-10-04,30304
2013-10-05,25107
2013-10-06,24794
2013-10-07,28459
2013-10-08,29012
2013-10-09,31157
2013-10-10,28511
2013-10-11,28138
2013-10-12,25202
2013-10-13,34308
2013-10-14,28603
2013-10-15,32052
2013-10-16,35218
2013-10-17,29725
2013-10-18,30894
2013-10-19,33003
2013-10-20,30044
2013-10-21,34773
2013-10-22,36609
2013-10-23,37637
2013-10-24,37091
2013-10-25,35040
2013-10-26,28552
2013-10-27,25115
2013-10-28,30995
2013-10-29,32196
2013-10-30,35217
2013-10-31,34955
2013-11-01,33208
2013-11-02,31777
2013-11-03,30427
2013-11-04,37620
2013-11-05,43008
2013-11-06,43620
2013-11-07,46720
2013-11-08,47296
2013-11-09,50837
2013-11-10,45501
2013-11-11,41248
2013-11-12,45240
2013-11-13,46372
2013-11-14,49427
2013-11-15,46284
2013-11-16,43482
2013-11-17,43660
2013-11-18,60802
2013-11-19,79310
2013-11-20,67293
2013-11-21,60609
2013-11-22,63553
2013-11-23,59060
2013-11-24,48105
2013-11-25,55460
2013-11-26,65005
2013-11-27,71128
2013-11-28,75125
2013-11-29,70433
2013-11-30,67286
2013-12-01,63587
2013-12-02,70702
2013-12-03,65187
2013-12-04,66741
