t,indicators_hodled_lost_coins
2011-01-13,4179342.5859657843
2011-01-14,4183402.688081542
2011-01-15,4188419.4834245085
2011-01-16,4196701.871709974
2011-01-17,4201453.381769723
2011-01-18,4207628.916154441
2011-01-19,4210926.033805317
2011-01-20,4212295.79806304
2011-01-21,4220302.987599011
2011-01-22,4228111.60130277
2011-01-23,4235196.921087633
2011-01-24,4238618.701745629
2011-01-25,4243920.448965865
2011-01-26,4248873.20105969
2011-01-27,4153475.0922373743
2011-01-28,4156745.160505241
2011-01-29,4161138.050974291
2011-01-30,4161049.4134551357
2011-01-31,4168698.3457545
2011-02-01,4171359.2300978275
2011-02-02,4173474.443603632
2011-02-03,4180078.5753449276
2011-02-04,4188919.7695965087
2011-02-05,4196922.68481917
2011-02-06,4201719.4773433935
2011-02-07,4206545.261340664
2011-02-08,4206434.299541044
2011-02-09,4215936.523441882
2011-02-10,4220817.73927302
2011-02-11,4223275.166586343
2011-02-12,4231466.541734458
2011-02-13,4241796.372308455
2011-02-14,4249771.728534626
2011-02-15,4237726.379592062
2011-02-16,4249977.623577029
2011-02-17,4263166.393669438
2011-02-18,4274315.645980298
2011-02-19,4281593.654203142
2011-02-20,4290778.751729954
2011-02-21,4300254.767678391
2011-02-22,4309953.606461683
2011-02-23,4321876.1036892
2011-02-24,4333221.0900501665
2011-02-25,4341693.915979919
2011-02-26,4351970.413013019
2011-02-27,4355159.318366468
2011-02-28,4358083.505406473
2011-03-01,4329409.193877069
2011-03-02,4302226.276795441
2011-03-03,4311168.739859378
2011-03-04,4322728.613042363
2011-03-05,4335802.614121036
2011-03-06,4348797.063504664
2011-03-07,4361408.321643744
2011-03-08,4370798.065556194
2011-03-09,4379230.969800845
2011-03-10,4385586.0803719545
2011-03-11,4392182.07821604
2011-03-12,4397404.996325482
2011-03-13,4399275.286553768
2011-03-14,4400159.854697467
2011-03-15,4399501.027217065
2011-03-16,4390279.555182303
2011-03-17,4392463.177018155
2011-03-18,4398565.284895114
2011-03-19,4403858.985667509
2011-03-20,4411479.349170968
2011-03-21,4419318.804086105
2011-03-22,4423091.019800034
2011-03-23,4427604.412828814
2011-03-24,4428011.277958024
2011-03-25,4434196.967140625
2011-03-26,4438389.996012944
2011-03-27,4440091.819565414
2011-03-28,4445958.759028475
2011-03-29,4454190.224457075
2011-03-30,4463056.694172741
2011-03-31,4473583.623336138
2011-04-01,4483356.672231571
2011-04-02,4493233.167896059
2011-04-03,4503016.324659356
2011-04-04,4506655.8317595525
2011-04-05,4511925.028765026
2011-04-06,4517113.521805597
2011-04-07,4524082.944938111
2011-04-08,4531518.90027785
2011-04-09,4539362.24241956
2011-04-10,4549133.454120123
2011-04-11,4558233.701140977
2011-04-12,4565201.218707597
2011-04-13,4572333.912907086
2011-04-14,4578093.17595631
2011-04-15,4582359.27793684
2011-04-16,4581411.071974964
2011-04-17,4587916.054808972
2011-04-18,4591965.650373473
2011-04-19,4593632.828140123
2011-04-20,4598433.915419257
2011-04-21,4605346.987274709
2011-04-22,4611446.535630132
2011-04-23,4614068.360811146
2011-04-24,4609786.034291526
2011-04-25,4617117.740421838
2011-04-26,4623013.394085129
2011-04-27,4629354.970150523
2011-04-28,4632384.709759213
2011-04-29,4575800.655810721
2011-04-30,4566924.260063758
2011-05-01,4568845.237200569
2011-05-02,4570062.135522719
2011-05-03,4574933.030885426
2011-05-04,4558309.666605042
2011-05-05,4566393.781073773
2011-05-06,4573365.084249654
2011-05-07,4577203.07803149
2011-05-08,4582336.629624626
2011-05-09,4590654.246851433
2011-05-10,4595394.594124509
2011-05-11,4590345.892860696
2011-05-12,4583221.162813441
2011-05-13,4557709.817432685
2011-05-14,4563734.228844145
2011-05-15,4561939.2799275555
2011-05-16,4569996.724055689
2011-05-17,4545439.915212136
2011-05-18,4556486.733910877
2011-05-19,4555284.393489636
2011-05-20,4561198.64667856
2011-05-21,4562945.231802579
2011-05-22,4570561.571416666
2011-05-23,4583469.215587558
2011-05-24,4597334.059881595
