t,distribution_balance_exchanges
2013-06-24,29940.28930838999
2013-06-25,29432.98349243999
2013-06-26,29871.462356679993
2013-06-27,31920.362985659995
2013-06-28,28314.447970399993
2013-06-29,28532.49300655999
2013-06-30,28294.18757309999
2013-07-01,30930.731634819986
2013-07-02,30781.604690639986
2013-07-03,30765.939133899985
2013-07-04,33588.128565539984
2013-07-05,35914.55467903999
2013-07-06,34901.24033974
2013-07-07,35275.98774638
2013-07-08,34071.31153025
2013-07-09,31048.5769748
2013-07-10,32968.98799422
2013-07-11,32290.225280359995
2013-07-12,32184.526058779993
2013-07-13,35754.488323789985
2013-07-14,33712.14044993999
2013-07-15,34147.05044168999
2013-07-16,33375.425624169984
2013-07-17,33436.77112295999
2013-07-18,34788.50524260999
2013-07-19,34828.01513632999
2013-07-20,35500.85259613999
2013-07-21,34149.74016460999
2013-07-22,34515.60480985999
2013-07-23,35429.94984881001
2013-07-24,34099.26154321
2013-07-25,33338.31971348
2013-07-26,33155.40820877001
2013-07-27,33019.03807635
2013-07-28,31607.45891816
2013-07-29,32096.425487679997
2013-07-30,32317.760935889997
2013-07-31,36572.640263789996
2013-08-01,36579.294239509996
2013-08-02,37848.776018569995
2013-08-03,43894.505766999995
2013-08-04,43578.897381769995
2013-08-05,50379.77189322
2013-08-06,50372.47080386999
2013-08-07,55025.624385339994
2013-08-08,54179.4729776
2013-08-09,54290.40129945001
2013-08-10,60040.115767849995
2013-08-11,58319.74929947
2013-08-12,58818.91829596001
2013-08-13,59388.36918795001
2013-08-14,64233.28615055001
2013-08-15,64972.361471860015
2013-08-16,65764.87786330002
2013-08-17,42124.758786250015
2013-08-18,41965.44892550002
2013-08-19,41566.91749775002
2013-08-20,41390.61950593002
2013-08-21,41318.64454280003
2013-08-22,38829.218133360024
2013-08-23,39341.30791605003
2013-08-24,39518.62377546003
2013-08-25,38499.16972802003
2013-08-26,41969.96803875003
2013-08-27,43183.61852244002
2013-08-28,43340.54251053002
2013-08-29,42612.276161670015
2013-08-30,44852.10923762001
2013-08-31,48700.81221541001
2013-09-01,51994.13198992002
2013-09-02,56688.83373469001
2013-09-03,56825.23797108001
2013-09-04,54028.29016039001
2013-09-05,63394.23122211
2013-09-06,67497.90542293
2013-09-07,68374.44650638998
2013-09-08,70580.06050113999
2013-09-09,73049.94370746998
2013-09-10,66973.15059047999
2013-09-11,66118.04522174
2013-09-12,70607.85231008
2013-09-13,73741.42879686998
2013-09-14,74056.69811301
2013-09-15,73016.99699855999
2013-09-16,70822.65170819999
2013-09-17,71925.02414775
2013-09-18,82259.44250295
2013-09-19,84119.83453961999
2013-09-20,81839.09175230999
2013-09-21,81728.27368513
2013-09-22,81211.45002433
2013-09-23,83045.37170616999
2013-09-24,84683.67470475
2013-09-25,83112.73675019
2013-09-26,84669.26773287
2013-09-27,82745.59843586
2013-09-28,79868.14971418
2013-09-29,80698.48790587002
2013-09-30,80283.46707574002
2013-10-01,101052.89857643002
2013-10-02,97309.54336025003
2013-10-03,97486.72914374003
2013-10-04,100919.89379931003
2013-10-05,99083.47394526002
2013-10-06,101419.5372205
2013-10-07,104752.97054353
2013-10-08,105400.02948242999
2013-10-09,110738.11644746001
2013-10-10,108496.77777403
2013-10-11,106674.70827061
2013-10-12,109875.23981508001
2013-10-13,112002.47442896002
2013-10-14,130883.3712892
2013-10-15,128174.44570048
2013-10-16,130006.75675080999
2013-10-17,129644.59007968
2013-10-18,132001.60462805
2013-10-19,137117.54598544
2013-10-20,144056.69469766002
2013-10-21,145712.52840144
2013-10-22,160344.09695369998
2013-10-23,156215.52318569
2013-10-24,151150.56261935996
2013-10-25,160173.59583493
2013-10-26,165023.59423334
2013-10-27,166753.97478535
2013-10-28,166171.54878049
2013-10-29,164387.83949644
2013-10-30,174101.01374190996
2013-10-31,171558.78324324999
2013-11-01,174644.97494724003
2013-11-02,175915.85966639998
2013-11-03,175703.08719326998
2013-11-04,252836.26800548
2013-11-05,252036.43043438002
2013-11-06,253739.47921201
2013-11-07,254273.87591889998
2013-11-08,262114.4580604
2013-11-09,266764.10786785
2013-11-10,274417.94052262
2013-11-11,270403.45623785007
2013-11-12,263961.44383371004
2013-11-13,254372.09134500005
2013-11-14,256358.36469861006
2013-11-15,255477.82261141003
2013-11-16,259889.09503066004
2013-11-17,264837.45126738003
2013-11-18,258892.4962087
2013-11-19,266077.36304516
2013-11-20,254819.20828962006
2013-11-21,251012.54996260002
2013-11-22,241359.06854079003
2013-11-23,260508.72772872003
2013-11-24,262295.79585894005
2013-11-25,265860.27402873
2013-11-26,320583.31151344004
2013-11-27,323667.1186220601
2013-11-28,316718.93213957
2013-11-29,313013.3969650902
2013-11-30,309769.5372779201
2013-12-01,319085.0288698701
2013-12-02,316911.7700448502
2013-12-03,314484.77015740017
2013-12-04,300484.9369241202
2013-12-05,309044.2800263202
2013-12-06,306494.73371580016
2013-12-07,310221.5615890802
2013-12-08,317483.53854198015
2013-12-09,315141.98136772006
2013-12-10,315398.18728706014
2013-12-11,315972.6082313801
2013-12-12,314757.5483698802
2013-12-13,316251.01090176014
2013-12-14,311772.2587502402
2013-12-15,311944.29377431015
2013-12-16,319379.6124776402
2013-12-17,329388.52145324013
2013-12-18,348055.03900834016
2013-12-19,353520.3712859402
2013-12-20,360560.2841233102
2013-12-21,360396.40560330026
2013-12-22,343797.8477383702
2013-12-23,333757.73348327016
2013-12-24,316504.4680786102
2013-12-25,306561.4719950802
2013-12-26,307414.6876106701
2013-12-27,307286.3277951601
2013-12-28,307669.98973282013
2013-12-29,308944.39048498013
2013-12-30,306535.81256909005
2013-12-31,306983.41302950005
2014-01-01,307901.89277149003
2014-01-02,309586.98449512006
2014-01-03,312362.83534580003
2014-01-04,311103.77519881004
2014-01-05,306596.2709042101
2014-01-06,314825.67953147006
2014-01-07,313863.4707186901
2014-01-08,319092.05053084006
2014-01-09,316376.80306233995
2014-01-10,315608.85599874
2014-01-11,316965.43441941997
