t,mining_hash_rate_mean
2015-04-12,311001999366613000
2015-04-13,377392960405450000
2015-04-14,362764525218670000
2015-04-15,295244908793468000
2015-04-16,335072852749678000
2015-04-17,305625094168350000
2015-04-18,351495398733057000
2015-04-19,346821976509872000
2015-04-20,355731958559672000
2015-04-21,360636866529192000
2015-04-22,349878925936304000
2015-04-23,305599184692304000
2015-04-24,290562663278398000
2015-04-25,378961596485680000
2015-04-26,343441154730013000
2015-04-27,309515495371122000
2015-04-28,360657652994962000
2015-04-29,296620280818726000
2015-04-30,311118044678247000
2015-05-01,344064358735330000
2015-05-02,343622569981369000
2015-05-03,331991794581982000
2015-05-04,295887247700178000
2015-05-05,361402979516528000
2015-05-06,372853027461165000
2015-05-07,334098170732704000
2015-05-08,347752486330968000
2015-05-09,302733664659949000
2015-05-10,302341845993772000
2015-05-11,365479416522018000
2015-05-12,352861672608426000
2015-05-13,377016439844845000
2015-05-14,357601198326680000
2015-05-15,338199556390077000
2015-05-16,307041438645628000
2015-05-17,406670670328849000
2015-05-18,346215977454513000
2015-05-19,309359212135994000
2015-05-20,353325096710342000
2015-05-21,371045884216512000
2015-05-22,327738174959911000
2015-05-23,270314603532030000
2015-05-24,347793474713499000
2015-05-25,341521793886880000
2015-05-26,340402634906984000
2015-05-27,332293388115676000
2015-05-28,318665785128826000
2015-05-29,367925172362608000
2015-05-30,330055597741931000
2015-05-31,345952071495108000
2015-06-01,312586022589849000
2015-06-02,352738910757548000
2015-06-03,331326424019930000
2015-06-04,324777702722777000
2015-06-05,323856569688695000
2015-06-06,407085375885332000
2015-06-07,346950465459731000
2015-06-08,368754591414550000
2015-06-09,348739069421355000
2015-06-10,394739677061370000
2015-06-11,320243078091803000
2015-06-12,327313471188239000
2015-06-13,367938708253852000
2015-06-14,366615683157651000
2015-06-15,340386677291428000
2015-06-16,290984373730799000
2015-06-17,377903841989013000
2015-06-18,386338352096735000
2015-06-19,351960899881158000
2015-06-20,330542998891593000
2015-06-21,302761286866263000
2015-06-22,372384053608544000
2015-06-23,342603302171959000
2015-06-24,379806976611264000
2015-06-25,367990409005284000
2015-06-26,372055838570853000
2015-06-27,315481900754281000
2015-06-28,341510394717884000
2015-06-29,341376360532058000
2015-06-30,358696376212380000
2015-07-01,324713823153093000
2015-07-02,375087251642809000
2015-07-03,389334482873267000
2015-07-04,371705113176718000
2015-07-05,340755094605630000
2015-07-06,435781896400562000
2015-07-07,324227126273102000
2015-07-08,393070674693541000
2015-07-09,325032193668134000
2015-07-10,375885493234365000
2015-07-11,364739933758935000
2015-07-12,340157455953920000
2015-07-13,370373668549529000
2015-07-14,364909325542508000
2015-07-15,380805459551522000
2015-07-16,339953246962463000
2015-07-17,371135407959348000
2015-07-18,368363052583268000
2015-07-19,384263221855830000
2015-07-20,393034723019461000
