t,ma128,ma14,ma200,ma25,ma40,ma60,ma9,ma90
2012-01-25,5666416233586118.0,5441874144101446.0,6348533048523113.0,5301884286109828.0,5177148238005354.0,5050555213671677.0,5480713343378049.0,5121078737298417.0
2012-01-26,5651394016394431.0,5459351783775918.0,6343050530597085.0,5327275937493896.0,5193543204776502.0,5058803742065981.0,5507900782871671.0,5113420950596149.0
2012-01-27,5636371799202743.0,5476829423450389.0,6337568012671057.0,5352667588877963.0,5209938171547651.0,5067052270460285.0,5535088222365293.0,5105763163893882.0
2012-01-28,5621349582011055.0,5494307063124859.0,6332085494745029.0,5378059240262030.0,5226333138318799.0,5082586643223476.0,5562275661858916.0,5098105377191613.0
2012-01-29,5606327364819368.0,5511784702799331.0,6326602976819002.0,5403450891646099.0,5242728105089948.0,5098121015986669.0,5589463101352538.0,5103081165247869.0
2012-01-30,5591305147627680.0,5529262342473803.0,6321120458892974.0,5428842543030166.0,5259123071861097.0,5113655388749861.0,5616650540846160.0,5108056953304125.0
2012-01-31,5576282930435992.0,5546739982148274.0,6315637940966945.0,5454234194414233.0,5275518038632245.0,5129189761513054.0,5616650540846160.0,5113032741360381.0
2012-02-01,5561260713244305.0,5564217621822745.0,6310155423040918.0,5479625845798300.0,5291913005403394.0,5144724134276246.0,5616650540846160.0,5118008529416637.0
2012-02-02,5548456139190350.0,5581695261497216.0,6304672905114890.0,5489413324016004.0,5308307972174542.0,5160258507039438.0,5616650540846160.0,5122984317472892.0
2012-02-03,5535651565136397.0,5599172901171689.0,6299190387188863.0,5499200802233709.0,5324702938945691.0,5175792879802631.0,5616650540846160.0,5127960105529149.0
2012-02-04,5525260194915172.0,5638714118745401.0,6292506379470771.0,5521343884074988.0,5348294973325468.0,5196475420742314.0,5650971662022757.0,5136368005703065.0
2012-02-05,5514868824693948.0,5660777696644643.0,6285822371752680.0,5543486965916268.0,5371887007705246.0,5217157961681996.0,5685292783199356.0,5144775905876981.0
2012-02-06,5504477454472724.0,5682841274543885.0,6279138364034589.0,5565630047757548.0,5395479042085023.0,5237840502621679.0,5719613904375954.0,5153183806050897.0
2012-02-07,5494086084251499.0,5704904852443126.0,6272454356316498.0,5587773129598826.0,5419071076464800.0,5258523043561361.0,5753935025552551.0,5161591706224813.0
2012-02-08,5483694714030275.0,5726968430342367.0,6265770348598408.0,5609916211440106.0,5442663110844578.0,5279205584501043.0,5788256146729148.0,5169999606398729.0
2012-02-09,5473303343809050.0,5749032008241608.0,6259086340880316.0,5632059293281385.0,5466255145224354.0,5299888125440725.0,5822577267905747.0,5178407506572644.0
