t,volumes
2013-04-15,"{'BitMinter': 0.0194746, 'SlushPool': 7.16799654, 'other': 47.257944607575}"
2013-04-16,"{'BitMinter': 0.00363724, 'SlushPool': 0.94712174, 'other': 111.483592797444}"
2013-04-17,"{'BitMinter': 0.05099344, 'SlushPool': 8.8470617, 'other': 6.6584276527609}"
2013-04-18,"{'BitMinter': 0.01568049, 'SlushPool': 0.47982227, 'other': 67.3819394009093}"
2013-04-19,"{'BitMinter': 1.38733475, 'SlushPool': 3.03906837, 'other': 13.9853533629995}"
2013-04-20,"{'BitMinter': 2.60498527, 'SlushPool': 0.86527436, 'other': 14.2294122129414}"
2013-04-21,"{'BitMinter': 0.07518832, 'SlushPool': 1.05802573, 'other': 2.1687882212887}"
2013-04-22,"{'BitMinter': 0.00644828, 'SlushPool': 3.13857382, 'other': 14.5925792600324}"
2013-04-23,"{'BitMinter': 0.00131767, 'SlushPool': 5.17340948, 'other': 63.2265223099123}"
2013-04-24,"{'BitMinter': 0.03206925, 'other': 28.1461749897422}"
2013-04-25,"{'BitMinter': 0.00719111, 'other': 12.2843686017327}"
2013-04-26,"{'BitMinter': 0.03113497, 'SlushPool': 2.50135515, 'other': 6.08646505576805}"
2013-04-27,"{'BitMinter': 0.64498038, 'SlushPool': 2.73327724, 'other': 2.02785525325326}"
2013-04-28,"{'BitMinter': 1.21815817, 'SlushPool': 1.11278371, 'other': 6.98493680600445}"
2013-04-29,"{'BitMinter': 2.72504573, 'SlushPool': 3.04802495, 'other': 18.7811020318357}"
2013-04-30,"{'BitMinter': 0.65076549, 'SlushPool': 2.27716935, 'other': 21.6702058261039}"
2013-05-01,"{'BitMinter': 0.46827647, 'SlushPool': 4.65233897, 'other': 21.783688334027}"
2013-05-02,"{'BitMinter': 0.67024069, 'SlushPool': 4.05057785, 'other': 9.05464750138792}"
2013-05-03,"{'BitMinter': 0.58384127, 'SlushPool': 1.07353134, 'other': 16.8255049120276}"
2013-05-04,"{'BitMinter': 0.56333071, 'SlushPool': 4.73657388, 'other': 8.14771881447414}"
2013-05-05,"{'BitMinter': 0.0421346, 'SlushPool': 4.65321042, 'other': 4.31840577055468}"
2013-05-06,"{'BitMinter': 0.08252051, 'SlushPool': 5.32804144, 'other': 10.3274604958141}"
2013-05-07,"{'BitMinter': 0.06639755, 'SlushPool': 3.87416726, 'other': 16.1519431114}"
2013-05-08,"{'BitMinter': 0.06537968, 'SlushPool': 9.68766855, 'other': 49.6694710028466}"
2013-05-09,"{'BitMinter': 0.13622752, 'SlushPool': 2.5139735, 'other': 2.1478774289821}"
2013-05-10,"{'BitMinter': 0.09167188, 'SlushPool': 2.09088477, 'other': 6.82838223884514}"
2013-05-11,"{'BitMinter': 0.10353166, 'SlushPool': 5.47702202, 'other': 3.01723266619605}"
2013-05-12,"{'BitMinter': 0.01418812, 'SlushPool': 1.21942515, 'other': 5.934729925799}"
