t,transactions_entity_adjusted_count
2013-08-10,25685
2013-08-11,20194
2013-08-12,28864
2013-08-13,33899
2013-08-14,33433
2013-08-15,36533
2013-08-16,35848
2013-08-17,25431
2013-08-18,25294
2013-08-19,39069
2013-08-20,31492
2013-08-21,32401
2013-08-22,37575
2013-08-23,29904
2013-08-24,27843
2013-08-25,26113
2013-08-26,30642
2013-08-27,31063
2013-08-28,29002
2013-08-29,25345
2013-08-30,32192
2013-08-31,29011
2013-09-01,23096
2013-09-02,24641
2013-09-03,26482
2013-09-04,29150
2013-09-05,29335
2013-09-06,27715
2013-09-07,25714
2013-09-08,25237
2013-09-09,34811
2013-09-10,30583
2013-09-11,30093
2013-09-12,30643
2013-09-13,28984
2013-09-14,23523
2013-09-15,24423
2013-09-16,28877
2013-09-17,33623
2013-09-18,34373
2013-09-19,31191
2013-09-20,28934
2013-09-21,25514
2013-09-22,25090
2013-09-23,31507
2013-09-24,30971
2013-09-25,31958
2013-09-26,33457
2013-09-27,30160
2013-09-28,26633
2013-09-29,26362
2013-09-30,31668
2013-10-01,37708
2013-10-02,39016
2013-10-03,34525
2013-10-04,32955
2013-10-05,26167
2013-10-06,25375
2013-10-07,31060
2013-10-08,32312
2013-10-09,35018
2013-10-10,34866
2013-10-11,33383
2013-10-12,28606
2013-10-13,28877
2013-10-14,34516
2013-10-15,35821
2013-10-16,36432
2013-10-17,32607
2013-10-18,35454
2013-10-19,34211
2013-10-20,30450
2013-10-21,38465
2013-10-22,41241
2013-10-23,38217
2013-10-24,43566
2013-10-25,38325
2013-10-26,31040
2013-10-27,27163
2013-10-28,35224
2013-10-29,35684
2013-10-30,34027
2013-10-31,36637
2013-11-01,30165
2013-11-02,26748
2013-11-03,26973
2013-11-04,35520
2013-11-05,39694
2013-11-06,42162
2013-11-07,47443
2013-11-08,47673
2013-11-09,44879
2013-11-10,39135
2013-11-11,40526
2013-11-12,41354
2013-11-13,47183
2013-11-14,49352
2013-11-15,42860
2013-11-16,36588
2013-11-17,37041
2013-11-18,60833
2013-11-19,75995
2013-11-20,62085
2013-11-21,58288
2013-11-22,58585
2013-11-23,53544
2013-11-24,44790
2013-11-25,53810
2013-11-26,65691
2013-11-27,77158
