t,o
2010-08-02,"{'crossed': 0, 'ma30': 1352563745.4394186, 'ma60': 747111826.1536744}"
2010-08-03,"{'crossed': 0, 'ma30': 1439098372.803102, 'ma60': 791411720.7952323}"
2010-08-04,"{'crossed': 0, 'ma30': 1531564010.1329963, 'ma60': 838399454.5394343}"
2010-08-05,"{'crossed': 0, 'ma30': 1618704453.3296533, 'ma60': 883077089.7016143}"
2010-08-06,"{'crossed': 0, 'ma30': 1697919391.5122514, 'ma60': 923544423.9403383}"
2010-08-07,"{'crossed': 0, 'ma30': 1781940255.1643844, 'ma60': 966311130.719362}"
2010-08-08,"{'crossed': 0, 'ma30': 1890466324.4417539, 'ma60': 1022247409.1174531}"
2010-08-09,"{'crossed': 0, 'ma30': 1992792401.5906992, 'ma60': 1075179960.5709965}"
2010-08-10,"{'crossed': 0, 'ma30': 2097533887.3387918, 'ma60': 1128646342.899439}"
2010-08-11,"{'crossed': 0, 'ma30': 2210497452.3338227, 'ma60': 1194307754.2207441}"
2010-08-12,"{'crossed': 0, 'ma30': 2301299277.3191204, 'ma60': 1255263483.5338392}"
2010-08-13,"{'crossed': 0, 'ma30': 2385496542.7933917, 'ma60': 1315634508.627902}"
2010-08-14,"{'crossed': 0, 'ma30': 2505570390.401496, 'ma60': 1395060208.3624718}"
2010-08-15,"{'crossed': 0, 'ma30': 2603181953.5423994, 'ma60': 1465555206.9379258}"
2010-08-16,"{'crossed': 0, 'ma30': 2676061631.856335, 'ma60': 1525710039.7632928}"
2010-08-17,"{'crossed': 0, 'ma30': 2734788383.166911, 'ma60': 1579240396.0238528}"
2010-08-18,"{'crossed': 0, 'ma30': 2794543426.6388, 'ma60': 1632459702.0724823}"
2010-08-19,"{'crossed': 0, 'ma30': 2856306756.888414, 'ma60': 1687559559.1469772}"
2010-08-20,"{'crossed': 0, 'ma30': 2959003958.730769, 'ma60': 1767362516.6511605}"
2010-08-21,"{'crossed': 0, 'ma30': 3058404740.4783244, 'ma60': 1838132905.8190846}"
2010-08-22,"{'crossed': 0, 'ma30': 3179953561.8072057, 'ma60': 1925099729.2791457}"
2010-08-23,"{'crossed': 0, 'ma30': 3305042892.9358816, 'ma60': 2013198927.3755007}"
2010-08-24,"{'crossed': 0, 'ma30': 3417481754.882102, 'ma60': 2101777045.7967043}"
2010-08-25,"{'crossed': 0, 'ma30': 3527868827.5431466, 'ma60': 2191161785.79001}"
2010-08-26,"{'crossed': 0, 'ma30': 3633351029.9999847, 'ma60': 2270893009.806736}"
2010-08-27,"{'crossed': 0, 'ma30': 3749433987.295824, 'ma60': 2356756863.456101}"
2010-08-28,"{'crossed': 0, 'ma30': 3855676780.688127, 'ma60': 2441974412.15829}"
2010-08-29,"{'crossed': 0, 'ma30': 3951107905.7509637, 'ma60': 2523042829.384669}"
2010-08-30,"{'crossed': 0, 'ma30': 4022733147.585275, 'ma60': 2596513544.176778}"
2010-08-31,"{'crossed': 0, 'ma30': 4115529804.2416844, 'ma60': 2688846395.7763867}"
2010-09-01,"{'crossed': 0, 'ma30': 4183103398.5004363, 'ma60': 2767833571.9699283}"
2010-09-02,"{'crossed': 0, 'ma30': 4247606576.8073497, 'ma60': 2843352474.8052263}"
2010-09-03,"{'crossed': 0, 'ma30': 4318680258.649181, 'ma60': 2925122134.391089}"
2010-09-04,"{'crossed': 0, 'ma30': 4410731979.349117, 'ma60': 3014718216.339386}"
2010-09-05,"{'crossed': 0, 'ma30': 4497107608.450046, 'ma60': 3097513499.9811482}"
2010-09-06,"{'crossed': 0, 'ma30': 4571804990.131552, 'ma60': 3176872622.647969}"
2010-09-07,"{'crossed': 0, 'ma30': 4619190264.613149, 'ma60': 3254828294.527452}"
2010-09-08,"{'crossed': 0, 'ma30': 4693416832.463738, 'ma60': 3343104617.027219}"
2010-09-09,"{'crossed': 0, 'ma30': 4740685908.7469425, 'ma60': 3419109898.042867}"
2010-09-10,"{'crossed': 0, 'ma30': 4813984000.314771, 'ma60': 3512240726.3242965}"
2010-09-11,"{'crossed': 0, 'ma30': 4875920871.71272, 'ma60': 3588610074.5159206}"
2010-09-12,"{'crossed': 0, 'ma30': 4959940011.655743, 'ma60': 3672718277.224568}"
2010-09-13,"{'crossed': 0, 'ma30': 4995245720.602053, 'ma60': 3750408055.5017753}"
2010-09-14,"{'crossed': 0, 'ma30': 5089860179.149302, 'ma60': 3846521066.3458514}"
2010-09-15,"{'crossed': 0, 'ma30': 5165819604.721365, 'ma60': 3920940618.2888513}"
2010-09-16,"{'crossed': 0, 'ma30': 5310577610.6064625, 'ma60': 4022682996.886688}"
2010-09-17,"{'crossed': 0, 'ma30': 5445338406.172505, 'ma60': 4119940916.4056544}"
2010-09-18,"{'crossed': 0, 'ma30': 5611021757.440214, 'ma60': 4233664257.1643147}"
2010-09-19,"{'crossed': 0, 'ma30': 5755668154.534162, 'ma60': 4357336056.632466}"
2010-09-20,"{'crossed': 0, 'ma30': 5918521129.33366, 'ma60': 4488462934.9059925}"
2010-09-21,"{'crossed': 0, 'ma30': 6000447178.000377, 'ma60': 4590200369.903791}"
2010-09-22,"{'crossed': 0, 'ma30': 6084566054.708601, 'ma60': 4694804473.822242}"
2010-09-23,"{'crossed': 0, 'ma30': 6257719950.073861, 'ma60': 4837600852.47798}"
2010-09-24,"{'crossed': 0, 'ma30': 6422506351.706124, 'ma60': 4975187589.624635}"
2010-09-25,"{'crossed': 0, 'ma30': 6570178489.375927, 'ma60': 5101764759.687956}"
2010-09-26,"{'crossed': 0, 'ma30': 6705400353.325214, 'ma60': 5227417170.310519}"
2010-09-27,"{'crossed': 0, 'ma30': 6881176294.930643, 'ma60': 5368426537.809384}"
2010-09-28,"{'crossed': 0, 'ma30': 7037902895.157586, 'ma60': 5494505400.454274}"
2010-09-29,"{'crossed': 0, 'ma30': 7238294708.308368, 'ma60': 5630513927.946821}"
2010-09-30,"{'crossed': 0, 'ma30': 7368029564.062026, 'ma60': 5741779684.1518545}"
2010-10-01,"{'crossed': 0, 'ma30': 7541918986.966582, 'ma60': 5862511192.733507}"
2010-10-02,"{'crossed': 0, 'ma30': 7605409683.422053, 'ma60': 5926508130.114699}"
2010-10-03,"{'crossed': 0, 'ma30': 7699623298.579959, 'ma60': 6009151778.614568}"
2010-10-04,"{'crossed': 0, 'ma30': 7841997480.763117, 'ma60': 6126364730.056115}"
2010-10-05,"{'crossed': 0, 'ma30': 7949163439.533715, 'ma60': 6223135523.9918785}"
2010-10-06,"{'crossed': 0, 'ma30': 8153665563.213632, 'ma60': 6362735276.672588}"
2010-10-07,"{'crossed': 0, 'ma30': 8340722788.391714, 'ma60': 6479956526.502429}"
2010-10-08,"{'crossed': 0, 'ma30': 8499895022.965867, 'ma60': 6596655927.714799}"
2010-10-09,"{'crossed': 0, 'ma30': 8679558131.153736, 'ma60': 6710122019.9503355}"
2010-10-10,"{'crossed': 0, 'ma30': 8857623180.590342, 'ma60': 6835803590.452555}"
2010-10-11,"{'crossed': 0, 'ma30': 9017077435.121601, 'ma60': 6946499153.417157}"
